AnimalID,RecDate,NovelDay,DataY,StimCond,Environ,BehavT,TrialT
62,221013,3,0.667334804738525,Goal,1,LickLatency,AllTrials
65,221023,3,0.749834745508082,Goal,1,LickLatency,AllTrials
4,230430,3,0.81852108341028,Goal,1,LickLatency,AllTrials
57,220405,3,0.784023668639053,Goal,1,LickLatency,LowStim
61,220908,3,0.52,Goal,1,LickLatency,LowStim
63,221009,3,0.864197530864197,Goal,1,LickLatency,LowStim
62,221013,3,0.465,Goal,1,LickLatency,LowStim
65,221023,3,0.6015625,Goal,1,LickLatency,LowStim
4,230430,3,0.953125,Goal,1,LickLatency,LowStim
57,220405,3,0.674556213017751,Goal,1,LickLatency,HighStim
61,220908,3,0.72,Goal,1,LickLatency,HighStim
63,221009,3,0.65625,Goal,1,LickLatency,HighStim
62,221013,3,0.62,Goal,1,LickLatency,HighStim
65,221023,3,0.796875,Goal,1,LickLatency,HighStim
4,230430,3,0.663265306122449,Goal,1,LickLatency,HighStim
57,220405,3,0.709735576923077,Goal,1,LickLatency,NoStim
61,220908,3,0.665864197530864,Goal,1,LickLatency,NoStim
63,221009,3,0.786797349907793,Goal,1,LickLatency,NoStim
62,221013,3,0.688239889429722,Goal,1,LickLatency,NoStim
65,221023,3,0.757342000156629,Goal,1,LickLatency,NoStim
4,230430,3,0.815222936435057,Goal,1,LickLatency,NoStim
57,220405,3,0.727810650887574,Goal,1,LickLatency,BothStim
61,220908,3,0.61,Goal,1,LickLatency,BothStim
63,221009,3,0.771626297577855,Goal,1,LickLatency,BothStim
62,221013,3,0.535,Goal,1,LickLatency,BothStim
65,221023,3,0.66796875,Goal,1,LickLatency,BothStim
4,230430,3,0.833333333333333,Goal,1,LickLatency,BothStim
11,200130,1,0.822607897153352,None,1,LickLatency,AllTrials
11,200131,2,0.69974407790019,None,1,LickLatency,AllTrials
11,200201,3,0.717099798267473,None,1,LickLatency,AllTrials
11,200203,1,0.623840625703814,None,1,LickLatency,AllTrials
11,200204,2,0.455181405895692,None,1,LickLatency,AllTrials
11,200205,3,0.606296547054841,None,1,LickLatency,AllTrials
18,200814,1,0.785787745737906,None,1,LickLatency,AllTrials
18,200815,2,0.857750472589792,None,1,LickLatency,AllTrials
18,200816,3,0.784970574920779,None,1,LickLatency,AllTrials
18,200818,1,0.920667057381853,None,1,LickLatency,AllTrials
18,200819,2,0.928047337278107,None,1,LickLatency,AllTrials
18,200820,3,0.905082254508451,None,1,LickLatency,AllTrials
21,201010,1,0.973334194214876,None,1,LickLatency,AllTrials
21,201011,2,0.942729591836734,None,1,LickLatency,AllTrials
21,201012,3,0.741604197901049,None,1,LickLatency,AllTrials
21,201014,1,0.989248528746039,None,1,LickLatency,AllTrials
21,201015,2,0.971444888635066,None,1,LickLatency,AllTrials
21,201016,3,0.742624223602485,None,1,LickLatency,AllTrials
24,201113,1,0.796322895719621,None,1,LickLatency,AllTrials
24,201114,2,0.888679423131304,None,1,LickLatency,AllTrials
24,201115,3,0.810527621055242,None,1,LickLatency,AllTrials
24,201117,1,0.838710262737698,None,1,LickLatency,AllTrials
